,track_id,n_frames_present,frame1,framef,mean_dn,std_dn,mean_dist,completeness,gap
1832,503,2,73,74,6068.1328125,64.85149741712364,1.4142135623730951,1.0,0
1833,1871,5,310,314,6067.2072265625,824.9159943962593,2.3541951241935952,1.0,0
1834,1160,2,178,179,6066.744140625,540.5548223245095,1.8027756377319946,1.0,0
1835,953,2,142,143,6065.77880859375,770.0054485478162,1.8027756377319946,1.0,0
1836,633,1,95,95,6061.07861328125,,,1.0,0
1837,658,1,100,100,6058.26416015625,,,1.0,0
1838,1675,72,274,345,6050.384385850694,1345.56332301601,1.568108814865604,1.0,0
1839,1343,2,211,212,6049.63671875,606.5422481157073,1.8027756377319946,1.0,0
1840,653,1,99,99,6047.8798828125,,,1.0,0
1841,342,1,52,52,6035.55908203125,,,1.0,0
1842,167,4,20,23,6031.66064453125,204.5770157643351,1.4142135623730951,1.0,0
1843,1388,1,221,221,6025.14501953125,,,1.0,0
1844,1001,2,150,151,6017.848876953125,745.3606365681703,1.8027756377319946,1.0,0
1845,2139,1,353,353,5974.81494140625,,,1.0,0
1846,614,2,92,93,5926.1845703125,199.78045330607776,1.8027756377319946,1.0,0
1847,1832,2,301,302,5898.11083984375,61.91327539178306,2.1505813167606567,1.0,0
1848,747,1,118,118,5890.2451171875,,,1.0,0
1849,710,2,111,112,5859.8505859375,137.60960874497576,2.23606797749979,1.0,0
1850,350,29,54,82,5826.617608432112,495.591781073197,1.6354530080610163,1.0,0
1851,1269,3,197,199,5819.685872395833,308.5429405758351,2.1095023109728612,1.0,0
1852,201,16,26,42,5817.971984863281,479.4997804741288,1.7526302887718066,0.9411764705882353,1
1853,1309,1,204,204,5801.1689453125,,,1.0,0
1854,295,9,44,52,5796.737575954861,492.22350051784275,1.6299092974767981,1.0,0
1855,700,1,109,109,5781.33642578125,,,1.0,0
1856,1365,3,216,218,5768.5166015625,460.32713339465636,2.155886932763717,1.0,0
1857,678,1,104,104,5746.1328125,,,1.0,0
1858,1224,4,190,193,5732.2877197265625,401.2711332379645,1.5936631812409512,1.0,0
1859,1020,1,153,153,5714.2001953125,,,1.0,0
1860,1400,3,224,226,5700.990071614583,566.2575340010493,1.9561389743524278,1.0,0
1861,1091,2,166,167,5690.2373046875,799.8537792282737,1.8027756377319946,1.0,0
1862,725,1,114,114,5684.91259765625,,,1.0,0
1863,1323,1,207,207,5677.8603515625,,,1.0,0
1864,544,1,81,81,5672.86083984375,,,1.0,0
1865,1571,1,256,256,5672.50439453125,,,1.0,0
1866,696,1,108,108,5638.47119140625,,,1.0,0
1867,705,1,110,110,5602.78759765625,,,1.0,0
1868,762,1,121,121,5599.7666015625,,,1.0,0
1869,1283,3,199,201,5576.819661458333,462.3734096656333,1.8027756377319946,1.0,0
1870,1296,5,201,205,5561.2314453125,439.3877236151886,2.1536373758148573,1.0,0
1871,1116,1,171,171,5516.21630859375,,,1.0,0
1872,1587,1,259,259,5510.5087890625,,,1.0,0
1873,1194,5,184,188,5510.16240234375,365.2685806670486,1.5078414403347078,1.0,0
1874,1375,1,218,218,5502.734375,,,1.0,0
1875,869,3,130,132,5470.770833333333,173.40076613048893,1.9561389743524278,1.0,0
1876,77,1,5,5,5442.1025390625,,,1.0,0
1877,1434,1,231,231,5408.45068359375,,,1.0,0
1878,1463,16,237,252,5382.039123535156,859.8469579172552,2.2501613510823617,1.0,0
1879,812,3,126,128,5373.875651041667,476.49501070243855,2.0194218076158923,1.0,0
1880,1008,1,151,151,5360.72412109375,,,1.0,0
1881,728,1,114,114,5327.98828125,,,1.0,0
1882,1325,8,207,214,5280.7916259765625,471.3291874392423,2.1989189552976334,1.0,0
1883,1950,1,323,323,5211.8154296875,,,1.0,0
1884,1106,1,169,169,5190.7392578125,,,1.0,0
1885,1670,3,273,275,5168.513346354167,573.1942652631444,1.9561389743524278,1.0,0
1886,1892,1,314,314,5166.7705078125,,,1.0,0
1887,1914,5,317,321,5119.45078125,324.4624186353203,2.15102833128588,1.0,0
1888,915,2,135,136,5113.47314453125,283.402735521047,1.8027756377319946,1.0,0
1889,471,1,67,67,5096.3916015625,,,1.0,0
1890,1163,1,179,179,5068.5400390625,,,1.0,0
1891,763,3,121,123,5062.97705078125,618.1198092893577,2.0194218076158923,1.0,0
1892,234,1,31,31,5005.0966796875,,,1.0,0
1893,2043,2,335,336,4967.5869140625,211.76743242191495,2.23606797749979,1.0,0
1894,2148,5,355,359,4966.22314453125,362.32056924679375,1.559627456246612,1.0,0
1895,269,1,39,39,4963.857421875,,,1.0,0
1896,1386,4,220,223,4930.2391357421875,284.72983337144586,2.038183167753143,1.0,0
1897,1697,1,278,278,4906.80908203125,,,1.0,0
1898,72,1,4,4,4892.541015625,,,1.0,0
1899,1392,1,222,222,4879.11279296875,,,1.0,0
1900,1750,2,287,288,4876.5986328125,777.8754641583465,2.23606797749979,1.0,0
1901,1367,8,216,223,4864.5821533203125,692.2701839331409,2.2258923292321873,1.0,0
1902,1774,1,290,290,4864.05908203125,,,1.0,0
1903,106,1,10,10,4850.68017578125,,,1.0,0
1904,1401,3,225,227,4773.484537760417,392.32898475404596,2.1095023109728612,1.0,0
1905,932,7,138,144,4726.69970703125,366.13969870444333,2.16001996528868,1.0,0
1906,1629,1,266,266,4711.76904296875,,,1.0,0
1907,2086,2,343,344,4704.77197265625,221.90378050886545,1.4142135623730951,1.0,0
1908,644,10,98,107,4693.55263671875,315.92923094100104,1.4738345096737526,1.0,0
1909,1176,1,182,182,4675.4423828125,,,1.0,0
1910,1098,2,168,169,4632.279541015625,50.08132115131343,1.4142135623730951,1.0,0
1911,1464,2,237,238,4628.179931640625,413.8297552186479,2.1505813167606567,1.0,0
1912,1958,2,323,324,4610.142333984375,66.55331837633678,2.23606797749979,1.0,0
1913,1504,1,245,245,4578.521484375,,,1.0,0
1914,1425,4,229,232,4569.2801513671875,260.3974793248952,2.230192390107897,1.0,0
1915,2174,1,359,359,4567.9638671875,,,1.0,0
1916,679,3,105,107,4564.302897135417,413.1280366934102,1.5428100166606566,1.0,0
1917,1077,3,164,166,4553.20263671875,439.5308326268986,1.558576099482874,1.0,0
1918,2010,2,331,333,4550.105224609375,315.6233956417061,2.906888370749714,0.6666666666666666,1
1919,1984,1,327,327,4542.46533203125,,,1.0,0
1920,2005,2,330,331,4530.267578125,74.79794866342348,2.23606797749979,1.0,0
1921,890,3,132,134,4511.90283203125,540.0405872714986,2.0194218076158923,1.0,0
1922,1557,3,254,256,4510.493326822917,484.2602215793271,2.1125314808314233,1.0,0
1923,1254,30,194,223,4447.613826497396,471.7736753921443,2.1864193383111212,1.0,0
1924,1214,85,188,272,4411.047842945772,321.08340887354035,1.5791957975840478,1.0,0
1925,174,1,21,21,4410.56787109375,,,1.0,0
1926,1796,5,295,299,4386.7685546875,387.4327703525106,2.1650409896978564,1.0,0
1927,962,1,143,143,4373.7998046875,,,1.0,0
1928,1120,1,172,172,4328.8701171875,,,1.0,0
1929,2054,14,338,351,4319.098231724331,430.73371988248067,1.5856238220478172,1.0,0
1930,795,3,125,127,4292.692057291667,347.56593236970184,1.8027756377319946,1.0,0
1931,1782,1,292,292,4234.8447265625,,,1.0,0
1932,1508,1,245,245,4211.0263671875,,,1.0,0
1933,1853,3,306,308,4186.926839192708,622.2881463680866,2.134518011493512,1.0,0
1934,1519,6,247,252,4183.2554931640625,614.6049643036619,1.4181298830484872,1.0,0
1935,598,1,90,90,4174.1220703125,,,1.0,0
1936,1301,2,203,204,4154.19873046875,228.5819344940755,2.3048861143232218,1.0,0
1937,1462,1,237,237,4139.2001953125,,,1.0,0
1938,1086,2,165,166,4137.7669677734375,390.45915103976824,1.4142135623730951,1.0,0
1939,1732,1,284,284,4104.0009765625,,,1.0,0
1940,1827,3,301,303,4088.02783203125,341.1648191522124,2.130041813866759,1.0,0
1941,1497,2,243,244,4075.19384765625,803.85680462919,2.4748737341529163,1.0,0
1942,1451,1,235,235,4065.121337890625,,,1.0,0
1943,1594,10,260,269,4064.5175048828123,236.29467229644766,2.1605959082298365,1.0,0
1944,931,3,138,140,4056.0592447916665,99.76710541218493,2.0194218076158923,1.0,0
1945,1995,1,329,329,4048.2333984375,,,1.0,0
1946,1121,13,173,185,4035.263202373798,160.23948025884937,1.5621752344127335,1.0,0
1947,987,11,147,157,4020.363525390625,310.4017203058194,2.167529540539319,1.0,0
1948,1479,1,241,241,3992.982421875,,,1.0,0
1949,926,2,138,139,3986.769287109375,187.20617505215546,1.4577379737113252,1.0,0
1950,2035,11,335,345,3975.4717240767045,249.54363360815395,1.5522416095225764,1.0,0
1951,686,1,106,106,3950.96044921875,,,1.0,0
1952,1968,3,325,327,3947.376953125,407.308321176434,1.6084946000525449,1.0,0
1953,1693,8,278,285,3941.4266052246094,760.7647280782884,1.6827641326993554,1.0,0
1954,2113,10,348,357,3930.5035888671873,254.08644017356107,1.5745843131390636,1.0,0
1955,1472,3,239,241,3906.2904459635415,364.89665514418476,2.0806354603730726,1.0,0
1956,1417,2,228,229,3896.094970703125,44.08886739434384,1.4142135623730951,1.0,0
1957,1415,3,227,229,3883.5750325520835,271.0553121540976,2.427303855975726,1.0,0
1958,2037,1,335,335,3872.9150390625,,,1.0,0
1959,1433,4,231,234,3857.7156372070312,306.04422267225857,2.2033924461168963,1.0,0
1960,990,19,148,167,3852.2800806949012,270.8007194681127,1.68891610615332,0.95,1
1961,1444,1,234,234,3845.83349609375,,,1.0,0
1962,874,1,131,131,3842.65576171875,,,1.0,0
1963,1582,1,258,258,3839.2080078125,,,1.0,0
1964,2120,2,348,349,3831.095947265625,505.1266319317688,2.23606797749979,1.0,0
1965,1510,2,245,246,3829.6552734375,705.847937766525,2.23606797749979,1.0,0
1966,934,1,139,139,3828.663818359375,,,1.0,0
1967,1925,4,320,323,3798.7302856445312,147.02506539831592,1.5104552537796143,1.0,0
1968,1978,7,327,333,3796.0343889508927,240.42216633144727,1.5520592175102816,1.0,0
1969,1052,4,159,162,3788.0532836914062,244.55530117136325,2.1368883148313915,1.0,0
1970,1638,1,268,268,3782.945556640625,,,1.0,0
1971,1810,16,298,313,3782.2662658691406,353.401732890648,1.573574255015152,1.0,0
1972,1930,1,321,321,3772.01708984375,,,1.0,0
1973,1949,2,323,324,3768.6771240234375,109.16254411502878,1.6278820596099586,1.0,0
1974,1460,2,237,238,3761.348876953125,285.20192176946654,1.25,1.0,0
1975,1000,2,150,151,3754.9052734375,403.32017352307304,1.4142135623730951,1.0,0
1976,1016,1,152,152,3745.9453125,,,1.0,0
1977,1897,1,315,315,3736.855224609375,,,1.0,0
1978,758,23,121,145,3725.815238620924,278.8066267505159,1.7475286132197185,0.92,2
1979,1662,4,271,274,3694.1838989257812,279.6237436653696,2.053387986263809,1.0,0
1980,731,2,115,116,3686.2177734375,101.22330247440668,1.4142135623730951,1.0,0
1981,1480,4,241,244,3669.185302734375,87.78522500675241,1.4142135623730951,1.0,0
1982,671,2,102,103,3666.7958984375,298.42944515522714,1.7677669529663689,1.0,0
1983,985,2,147,148,3656.1114501953125,173.50062952842958,2.1505813167606567,1.0,0
1984,1825,15,300,315,3651.788395182292,198.86901805982558,1.704514123702612,0.9375,1
1985,1103,3,169,171,3645.3240559895835,160.74088564549885,1.5745334197578102,1.0,0
1986,346,1,53,53,3631.483642578125,,,1.0,0
1987,1753,10,288,297,3610.43173828125,253.89823431094945,1.5630507994796377,1.0,0
